cluster_id,attribute_id,min,max
0x002F,0x0001,0x00,0xFF
0x002F,0x0003,0x00000000,0xFFFFFFFF
0x002F,0x0004,0x0000,0xFFFF
0x002F,0x0006,0x00000000,0xFFFFFFFF
0x002F,0x0007,0x00000000,0xFFFFFFFF
0x002F,0x0008,0x00000000,0xFFFFFFFF
0x002F,0x000B,0x00000000,0xFFFFFFFF
0x002F,0x000C,0x00,0xC8
0x002F,0x000D,0x00000000,0xFFFFFFFF
0x002F,0x0014,0x00000000,0xFFFFFFFF
0x002F,0x0017,0x00000000,0xFFFFFFFF
0x002F,0x0018,0x00000000,0xFFFFFFFF
0x002F,0x0019,0x00,0xFF
0x002F,0x001B,0x00000000,0xFFFFFFFF
0x002F,0x001D,0x00000000,0xFFFFFFFF
0x040C,0x0004,0,604800
0x040C,0x0006,0,604800
0x040C,0x0008,0,7
0x040C,0x0009,0,2
0x040C,0x000a,0,4
0x040D,0x0004,0,604800
0x040D,0x0006,0,604800
0x040D,0x0008,0,7
0x040D,0x0009,0,2
0x040D,0x000a,0,4
0x0413,0x0004,0,604800
0x0413,0x0006,0,604800
0x0413,0x0008,0,7
0x0413,0x0009,0,2
0x0413,0x000a,0,4
0x0415,0x0004,0,604800
0x0415,0x0006,0,604800
0x0415,0x0008,0,7
0x0415,0x0009,0,2
0x0415,0x000a,0,4
0x042a,0x0004,0,604800
0x042a,0x0006,0,604800
0x042a,0x0008,0,7
0x042a,0x0009,0,2
0x042a,0x000a,0,4
0x042b,0x0004,0,604800
0x042b,0x0006,0,604800
0x042b,0x0008,0,7
0x042b,0x0009,0,2
0x042b,0x000a,0,4
0x042c,0x0004,0,604800
0x042c,0x0006,0,604800
0x042c,0x0008,0,7
0x042c,0x0009,0,2
0x042c,0x000a,0,4
0x042d,0x0004,0,604800
0x042d,0x0006,0,604800
0x042d,0x0008,0,7
0x042d,0x0009,0,2
0x042d,0x000a,0,4
0x042e,0x0004,0,604800
0x042e,0x0006,0,604800
0x042e,0x0008,0,7
0x042e,0x0009,0,2
0x042e,0x000a,0,4
0x042f,0x0004,0,604800
0x042f,0x0006,0,604800
0x042f,0x0008,0,7
0x042f,0x0009,0,2
0x042f,0x000a,0,4
0x0505,0x0001,0x00,0xFF
0x0060,0x0001,0x00,0x1F
0x0060,0x0002,0x00,259200
0x0201,0x0007,0,100
0x0201,0x0008,0,100
0x0201,0x0009,0x00,0xFF
0x0201,0x0010,0xE7,0x19
0x0201,0x0011,-27315,0x7FFF
0x0201,0x0012,-27315,0x7FFF
0x0201,0x0013,-27315,0x7FFF
0x0201,0x0014,-27315,0x7FFF
0x0201,0x0015,-27315,0x7FFF
0x0201,0x0016,-27315,0x7FFF
0x0201,0x0017,-27315,0x7FFF
0x0201,0x0018,-27315,0x7FFF
0x0201,0x0019,0,25
0x0201,0x001A,0x0,0x7
0x0201,0x001B,0x0,0x5
0x0201,0x001C,0x0,0x9
0x0201,0x001E,0x0,0x4
0x0201,0x0020,0x0,0x6
0x0201,0x0023,0x0,0x1
0x0201,0x0024,0,1440
0x0201,0x0025,0x0,0x7
0x0201,0x0029,0x0,0x7F
0x0201,0x0030,0x0,0x2
0x0201,0x0040,0x0,0x4
0x0201,0x0042,0x0,0x3
0x0201,0x0043,0x0,0x3
0x0201,0x0044,0x0,0x1F
0x0201,0x0045,0x0,0x5
0x0201,0x0047,0x00,0xFF
0x0201,0x0053,0x0,0x3
0x0096,0x0006,0,0x3C
0x0096,0x0007,0,0x3C
0x0300,0x0000,0x00,0xFE
0x0300,0x0001,0x00,0xFE
0x0300,0x0002,0x0000,0xFFFE
0x0300,0x0003,0x0000,0xFEFF
0x0300,0x0004,0x0000,0xFEFF
0x0300,0x0005,0x00,0x04
0x0300,0x0007,0x0000,0xFEFF
0x0300,0x0008,0x00,0x02
0x0300,0x0010,0x00,0x06
0x0300,0x0011,0x0000,0xFEFF
0x0300,0x0012,0x0000,0xFEFF
0x0300,0x0013,0x00,0xFF
0x0300,0x0015,0x0000,0xFEFF
0x0300,0x0016,0x0000,0xFEFF
0x0300,0x0017,0x00,0xFF
0x0300,0x0019,0x0000,0xFEFF
0x0300,0x001A,0x0000,0xFEFF
0x0300,0x001B,0x00,0xFF
0x0300,0x0020,0x0000,0xFEFF
0x0300,0x0021,0x0000,0xFEFF
0x0300,0x0022,0x00,0xFF
0x0300,0x0024,0x0000,0xFEFF
0x0300,0x0025,0x0000,0xFEFF
0x0300,0x0026,0x00,0xFF
0x0300,0x0028,0x0000,0xFEFF
0x0300,0x0029,0x0000,0xFEFF
0x0300,0x002A,0x00,0xFF
0x0300,0x0030,0x0000,0xFEFF
0x0300,0x0031,0x0000,0xFEFF
0x0300,0x0032,0x0000,0xFEFF
0x0300,0x0033,0x0000,0xFEFF
0x0300,0x0036,0x0000,0xFEFF
0x0300,0x0037,0x0000,0xFEFF
0x0300,0x003A,0x0000,0xFEFF
0x0300,0x003B,0x0000,0xFEFF
0x0300,0x400D,0x0000,0xFFFF
0x0300,0x4010,0x0000,0xFEFF
0x0301,0x0000,0x01,0xFE
0x0301,0x0001,0x01,0xFE
0x0301,0x0002,0x00,0x03
0x0301,0x0010,0x01,0xFE
0x0301,0x0011,0x01,0xFE
0x0301,0x0034,0x00,0x01
0x0204,0x0000,0x00,0x01
0x0204,0x0001,0x00,0x05
0x0204,0x0002,0x00,0x01
0x0400,0x0000,0x0000,0xFFFF
0x0400,0x0001,0x0001,0xFFFD
0x0400,0x0002,0x0002,0xFFFE
0x0400,0x0003,0x0000,0x0800
0x0400,0x0004,0x00,0xFF
0x0099,0x0000,0x00,0x06
0x0099,0x0001,0x00,0x04
0x0099,0x0002,0x00,0xFF
0x0099,0x0005,0,80000
0x0099,0x0006,0,80000
0x0099,0x0007,0,80000
0x0099,0x0008,0,80000
0x0507,0x0001,0x00,0xFF
0x0403,0x0003,0x0000,0x0800
0x0403,0x0013,0x0000,0x0800
0x0037,0x01,0x00,0x01
0x0037,0x02,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0037,0x03,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0037,0x04,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0037,0x05,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0037,0x06,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0037,0x07,0x00,0x01
0x0037,0x08,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0080,0x0001,2,10
0x050b,0x0001,0x00,0xFF
0x002d,0x00,0,2
0x0048,0x0001,0x00,0x1F
0x0048,0x0002,0x00,259200
0x009B,0x0000,2,10
0x009B,0x0003,2,10
0x002a,0x0003,0,100
0x0006,0x4003,0,2
0xFFF1FC05,0x0026,20,100
0xFFF1FC05,0x0027,-40,50
0xFFF1FC05,0x0028,100,1000
0xFFF1FC05,0x0029,-150,200
0xFFF1FC05,0x4026,20,100
0xFFF1FC05,0x4027,-40,50
0xFFF1FC05,0x4028,100,1000
0xFFF1FC05,0x4029,-150,200
0x0102,0x0000,0x00,0x09
0x0102,0x0001,0x0000,0xFFFF
0x0102,0x0002,0x0000,0xFFFF
0x0102,0x0003,0x0000,0xFFFF
0x0102,0x0004,0x0000,0xFFFF
0x0102,0x0005,0x0000,0xFFFF
0x0102,0x0006,0x0000,0xFFFF
0x0102,0x0007,0x00,0x7F
0x0102,0x0008,0,100
0x0102,0x0009,0,100
0x0102,0x000A,0x00,0x7F
0x0102,0x000B,0,10000
0x0102,0x000C,0,10000
0x0102,0x000D,0x00,0x20
0x0102,0x000E,0,10000
0x0102,0x000F,0,10000
0x0102,0x0010,0x0000,0xFFFF
0x0102,0x0011,0x0000,0xFFFF
0x0102,0x0012,0x0000,0xFFFF
0x0102,0x0013,0x0000,0xFFFF
0x0102,0x0017,0x00,0x0F
0x0102,0x001A,0x0000,0xFFFF
